loan_id,principal,total_owing_at_issue,application_number,applying_for_loan_number,loan_number,employee_count,total_recovered_on_time,total_recovered_15_dpd,cash_yield_15_dpd,acquisition_channel,sector,applying_for_loan_number,approval_status,paid_late,repayment_duration_days,Target
860706,300000.0,345500.0,1,1,1.0,1.0,345500.0,345500.0,45500.0,Friend,Beauty Fashion,1,Approved,False,33.0,0
975605,330000.0,380000.0,2,2,2.0,1.0,380000.0,380000.0,50000.0,Friend,Beauty Fashion,2,Approved,False,28.0,0
126416,300000.0,,1,1,,1.0,,,,Friend,Food Staple Goods,1,Declined,False,412.0,0
127617,200000.0,221100.0,2,1,1.0,1.0,221100.0,221100.0,21100.0,Friend,Food Staple Goods,1,Approved,False,0.0,0
148416,220000.0,243200.0,3,2,2.0,1.0,243200.0,243200.0,23200.0,Friend,Food Staple Goods,2,Approved,False,0.0,0
172015,242000.0,269000.0,4,3,3.0,1.0,269000.0,269000.0,27000.0,Friend,Food Staple Goods,3,Approved,False,0.0,0
202481,266200.0,295800.0,5,4,4.0,1.0,200000.0,295800.0,29600.0,Friend,Food Staple Goods,4,Approved,True,0.0,1
244947,292800.0,343100.0,6,5,5.0,1.0,343100.0,343100.0,50300.0,Friend,Food Staple Goods,5,Approved,False,27.0,0
289710,322100.0,367800.0,7,6,6.0,1.0,367800.0,367800.0,45700.0,Friend,Food Staple Goods,6,Approved,False,6.0,0
325580,350000.0,399600.0,8,7,7.0,1.0,399600.0,399600.0,49600.0,Friend,Food Staple Goods,7,Approved,False,8.0,0
353969,389000.0,444200.0,9,8,8.0,1.0,444200.0,444200.0,55200.0,Friend,Food Staple Goods,8,Approved,False,6.0,0
383800,428700.0,,10,9,,1.0,,,,Friend,Food Staple Goods,9,Cancelled,False,412.0,0
387069,428700.0,489400.0,11,9,9.0,1.0,489400.0,489400.0,60700.0,Friend,Food Staple Goods,9,Approved,False,10.0,0
429805,470000.0,536600.0,12,10,10.0,1.0,536600.0,536600.0,66600.0,Friend,Food Staple Goods,10,Approved,False,8.0,0
466316,510000.0,582300.0,13,11,11.0,1.0,582300.0,582300.0,72300.0,Friend,Food Staple Goods,11,Approved,False,6.0,0
503410,570000.0,650800.0,14,12,12.0,1.0,650800.0,650800.0,80800.0,Friend,Food Staple Goods,12,Approved,False,2.0,0
533440,620000.0,712700.0,15,13,13.0,1.0,712700.0,712700.0,92700.0,Friend,Food Staple Goods,13,Approved,False,3.0,0
567220,680000.0,781600.0,16,14,14.0,1.0,781600.0,781600.0,101600.0,Friend,Food Staple Goods,14,Approved,False,3.0,0
596993,730000.0,838900.0,17,15,15.0,1.0,838900.0,838900.0,108900.0,Friend,Food Staple Goods,15,Approved,False,5.0,0
631515,770000.0,884800.0,18,16,16.0,1.0,884800.0,884800.0,114800.0,Friend,Food Staple Goods,16,Approved,False,1.0,0
662431,790000.0,,19,17,,1.0,,,,Friend,Food Staple Goods,17,Declined,False,412.0,0
666726,790000.0,907800.0,20,17,17.0,1.0,907800.0,907800.0,117800.0,Friend,Food Staple Goods,17,Approved,False,9.0,0
699117,800000.0,919200.0,21,18,18.0,1.0,919200.0,919200.0,119200.0,Friend,Food Staple Goods,18,Approved,False,6.0,0
731186,820000.0,942200.0,22,19,19.0,1.0,942200.0,942200.0,122200.0,Friend,Food Staple Goods,19,Approved,False,8.0,0
762708,820000.0,943800.0,23,20,20.0,1.0,943800.0,943800.0,123800.0,Friend,Food Staple Goods,20,Approved,False,5.0,0
797008,850000.0,978300.0,24,21,21.0,1.0,978300.0,978300.0,128300.0,Friend,Food Staple Goods,21,Approved,False,4.0,0
833419,920000.0,1058700.0,25,22,22.0,1.0,1058700.0,1058700.0,138700.0,Friend,Food Staple Goods,22,Approved,False,4.0,0
866492,1020000.0,1173700.0,26,23,23.0,1.0,1173700.0,1173700.0,153700.0,Friend,Food Staple Goods,23,Approved,False,5.0,0
895141,1138600.0,1310000.0,27,24,24.0,1.0,1310000.0,1310000.0,171400.0,Friend,Food Staple Goods,24,Approved,False,7.0,0
924166,1250000.0,1476100.0,28,25,25.0,1.0,1476100.0,1476100.0,226100.0,Friend,Food Staple Goods,25,Approved,False,2.0,0
953103,1350000.0,1594100.0,29,26,26.0,1.0,1594100.0,1594100.0,244100.0,Friend,Food Staple Goods,26,Approved,False,0.0,0
960599,400000.0,460600.0,1,1,1.0,,460600.0,460600.0,60600.0,Sales Team,Metal and Woodworking,1,Approved,False,19.0,0
405412,260000.0,,1,1,,1.0,,,,Friend,Mobile Money Airtime,1,Cancelled,False,412.0,0
406881,150000.0,175800.0,2,1,1.0,1.0,175800.0,175800.0,25800.0,Friend,Mobile Money Airtime,1,Approved,False,15.0,0
430119,161500.0,179500.0,3,2,2.0,1.0,179500.0,179500.0,18000.0,Friend,Mobile Money Airtime,2,Approved,False,13.0,0
467575,177600.0,197400.0,4,3,3.0,1.0,197400.0,197400.0,19800.0,Friend,Mobile Money Airtime,3,Approved,False,9.0,0
503879,195400.0,217100.0,5,4,4.0,1.0,217100.0,217100.0,21700.0,Friend,Mobile Money Airtime,4,Approved,False,7.0,0
532818,214900.0,240500.0,6,5,5.0,1.0,240500.0,240500.0,25600.0,Friend,Mobile Money Airtime,5,Approved,False,0.0,0
563206,236400.0,264500.0,7,6,6.0,1.0,264500.0,264500.0,28100.0,Friend,Mobile Money Airtime,6,Approved,False,28.0,0
595175,260000.0,290900.0,8,7,7.0,1.0,290900.0,290900.0,30900.0,Friend,Mobile Money Airtime,7,Approved,False,0.0,0
626666,286000.0,320000.0,9,8,8.0,1.0,320000.0,320000.0,34000.0,Friend,Mobile Money Airtime,8,Approved,False,4.0,0
651869,311500.0,348600.0,10,9,9.0,1.0,0.0,348600.0,37100.0,Friend,Mobile Money Airtime,9,Approved,True,0.0,1
683482,342600.0,390300.0,11,10,10.0,1.0,390300.0,390300.0,47700.0,Friend,Mobile Money Airtime,10,Approved,False,0.0,0
714416,376900.0,429400.0,12,11,11.0,1.0,429400.0,429400.0,52500.0,Friend,Mobile Money Airtime,11,Approved,False,6.0,0
741834,411600.0,460600.0,13,12,12.0,1.0,460600.0,460600.0,49000.0,Friend,Mobile Money Airtime,12,Approved,False,0.0,0
775399,452800.0,507600.0,14,13,13.0,1.0,507600.0,507600.0,54800.0,Friend,Mobile Money Airtime,13,Approved,False,1.0,0
812217,498100.0,558400.0,15,14,14.0,1.0,558400.0,558400.0,60300.0,Friend,Mobile Money Airtime,14,Approved,False,0.0,0
839928,543900.0,609800.0,16,15,15.0,1.0,609800.0,609800.0,65900.0,Friend,Mobile Money Airtime,15,Approved,False,0.0,0
870995,598300.0,670700.0,17,16,16.0,1.0,670700.0,670700.0,72400.0,Friend,Mobile Money Airtime,16,Approved,False,0.0,0
899243,658100.0,737700.0,18,17,17.0,1.0,737700.0,737700.0,79600.0,Friend,Mobile Money Airtime,17,Approved,False,0.0,0
927969,723900.0,811300.0,19,18,18.0,1.0,0.0,144000.0,-523900.0,Friend,Mobile Money Airtime,18,Approved,True,1.0,1
932196,540000.0,605400.0,1,1,1.0,,605400.0,605400.0,65400.0,Friend,Hospitality,1,Approved,False,32.0,0
964923,594000.0,665900.0,2,2,2.0,,665900.0,665900.0,71900.0,Friend,Hospitality,2,Approved,False,0.0,0
950618,360000.0,414500.0,1,1,1.0,,414500.0,414500.0,54500.0,Friend,School,1,Approved,False,33.0,0
894872,312000.0,359300.0,1,1,1.0,,359300.0,359300.0,47300.0,Facebook,Food Staple Goods,1,Approved,False,24.0,0
927705,343000.0,388000.0,2,2,2.0,,388000.0,388000.0,45000.0,Facebook,Food Staple Goods,2,Approved,False,26.0,0
