loan_id,business_id,credit_officer_id,acquisition_channel,sector,principal,total_owing_at_issue,application_number,applying_for_loan_number,loan_number,employee_count,approval_status,paid_late,total_recovered_on_time,total_recovered_15_dpd,cash_yield_15_dpd,repayment_duration_days,Target
860706,604923,131449.0,Friend,Beauty Fashion,300000.0,345500.0,1,1,1.0,1.0,Approved,False,345500.0,345500.0,45500.0,33,0
975605,604923,131449.0,Friend,Beauty Fashion,330000.0,380000.0,2,2,2.0,1.0,Approved,False,380000.0,380000.0,50000.0,28,0
127617,122438,108019.0,Friend,Food Staple Goods,200000.0,221100.0,2,1,1.0,1.0,Approved,False,221100.0,221100.0,21100.0,0,0
148416,122438,108019.0,Friend,Food Staple Goods,220000.0,243200.0,3,2,2.0,1.0,Approved,False,243200.0,243200.0,23200.0,0,0
172015,122438,108019.0,Friend,Food Staple Goods,242000.0,269000.0,4,3,3.0,1.0,Approved,False,269000.0,269000.0,27000.0,0,0
202481,122438,108019.0,Friend,Food Staple Goods,266200.0,295800.0,5,4,4.0,1.0,Approved,True,200000.0,295800.0,29600.0,0,1
244947,122438,108019.0,Friend,Food Staple Goods,292800.0,343100.0,6,5,5.0,1.0,Approved,False,343100.0,343100.0,50300.0,27,0
289710,122438,108019.0,Friend,Food Staple Goods,322100.0,367800.0,7,6,6.0,1.0,Approved,False,367800.0,367800.0,45700.0,6,0
325580,122438,108019.0,Friend,Food Staple Goods,350000.0,399600.0,8,7,7.0,1.0,Approved,False,399600.0,399600.0,49600.0,8,0
353969,122438,108019.0,Friend,Food Staple Goods,389000.0,444200.0,9,8,8.0,1.0,Approved,False,444200.0,444200.0,55200.0,6,0
387069,122438,108019.0,Friend,Food Staple Goods,428700.0,489400.0,11,9,9.0,1.0,Approved,False,489400.0,489400.0,60700.0,10,0
429805,122438,108019.0,Friend,Food Staple Goods,470000.0,536600.0,12,10,10.0,1.0,Approved,False,536600.0,536600.0,66600.0,8,0
466316,122438,108019.0,Friend,Food Staple Goods,510000.0,582300.0,13,11,11.0,1.0,Approved,False,582300.0,582300.0,72300.0,6,0
503410,122438,108019.0,Friend,Food Staple Goods,570000.0,650800.0,14,12,12.0,1.0,Approved,False,650800.0,650800.0,80800.0,2,0
533440,122438,108019.0,Friend,Food Staple Goods,620000.0,712700.0,15,13,13.0,1.0,Approved,False,712700.0,712700.0,92700.0,3,0
567220,122438,108019.0,Friend,Food Staple Goods,680000.0,781600.0,16,14,14.0,1.0,Approved,False,781600.0,781600.0,101600.0,3,0
596993,122438,108019.0,Friend,Food Staple Goods,730000.0,838900.0,17,15,15.0,1.0,Approved,False,838900.0,838900.0,108900.0,5,0
631515,122438,108019.0,Friend,Food Staple Goods,770000.0,884800.0,18,16,16.0,1.0,Approved,False,884800.0,884800.0,114800.0,1,0
666726,122438,108019.0,Friend,Food Staple Goods,790000.0,907800.0,20,17,17.0,1.0,Approved,False,907800.0,907800.0,117800.0,9,0
699117,122438,108019.0,Friend,Food Staple Goods,800000.0,919200.0,21,18,18.0,1.0,Approved,False,919200.0,919200.0,119200.0,6,0
731186,122438,108019.0,Friend,Food Staple Goods,820000.0,942200.0,22,19,19.0,1.0,Approved,False,942200.0,942200.0,122200.0,8,0
762708,122438,279289.0,Friend,Food Staple Goods,820000.0,943800.0,23,20,20.0,1.0,Approved,False,943800.0,943800.0,123800.0,5,0
797008,122438,279289.0,Friend,Food Staple Goods,850000.0,978300.0,24,21,21.0,1.0,Approved,False,978300.0,978300.0,128300.0,4,0
833419,122438,279289.0,Friend,Food Staple Goods,920000.0,1058700.0,25,22,22.0,1.0,Approved,False,1058700.0,1058700.0,138700.0,4,0
866492,122438,279289.0,Friend,Food Staple Goods,1020000.0,1173700.0,26,23,23.0,1.0,Approved,False,1173700.0,1173700.0,153700.0,5,0
895141,122438,279289.0,Friend,Food Staple Goods,1138600.0,1310000.0,27,24,24.0,1.0,Approved,False,1310000.0,1310000.0,171400.0,7,0
924166,122438,279289.0,Friend,Food Staple Goods,1250000.0,1476100.0,28,25,25.0,1.0,Approved,False,1476100.0,1476100.0,226100.0,2,0
953103,122438,279289.0,Friend,Food Staple Goods,1350000.0,1594100.0,29,26,26.0,1.0,Approved,False,1594100.0,1594100.0,244100.0,0,0
960599,675619,279290.0,Sales Team,Metal and Woodworking,400000.0,460600.0,1,1,1.0,,Approved,False,460600.0,460600.0,60600.0,19,0
406881,312482,279288.0,Friend,Mobile Money Airtime,150000.0,175800.0,2,1,1.0,1.0,Approved,False,175800.0,175800.0,25800.0,15,0
430119,312482,279288.0,Friend,Mobile Money Airtime,161500.0,179500.0,3,2,2.0,1.0,Approved,False,179500.0,179500.0,18000.0,13,0
467575,312482,279288.0,Friend,Mobile Money Airtime,177600.0,197400.0,4,3,3.0,1.0,Approved,False,197400.0,197400.0,19800.0,9,0
503879,312482,279288.0,Friend,Mobile Money Airtime,195400.0,217100.0,5,4,4.0,1.0,Approved,False,217100.0,217100.0,21700.0,7,0
532818,312482,279288.0,Friend,Mobile Money Airtime,214900.0,240500.0,6,5,5.0,1.0,Approved,False,240500.0,240500.0,25600.0,0,0
563206,312482,279288.0,Friend,Mobile Money Airtime,236400.0,264500.0,7,6,6.0,1.0,Approved,False,264500.0,264500.0,28100.0,28,0
595175,312482,108022.0,Friend,Mobile Money Airtime,260000.0,290900.0,8,7,7.0,1.0,Approved,False,290900.0,290900.0,30900.0,0,0
626666,312482,108022.0,Friend,Mobile Money Airtime,286000.0,320000.0,9,8,8.0,1.0,Approved,False,320000.0,320000.0,34000.0,4,0
651869,312482,108022.0,Friend,Mobile Money Airtime,311500.0,348600.0,10,9,9.0,1.0,Approved,True,0.0,348600.0,37100.0,0,1
683482,312482,108022.0,Friend,Mobile Money Airtime,342600.0,390300.0,11,10,10.0,1.0,Approved,False,390300.0,390300.0,47700.0,0,0
714416,312482,108022.0,Friend,Mobile Money Airtime,376900.0,429400.0,12,11,11.0,1.0,Approved,False,429400.0,429400.0,52500.0,6,0
741834,312482,108022.0,Friend,Mobile Money Airtime,411600.0,460600.0,13,12,12.0,1.0,Approved,False,460600.0,460600.0,49000.0,0,0
775399,312482,108022.0,Friend,Mobile Money Airtime,452800.0,507600.0,14,13,13.0,1.0,Approved,False,507600.0,507600.0,54800.0,1,0
812217,312482,108022.0,Friend,Mobile Money Airtime,498100.0,558400.0,15,14,14.0,1.0,Approved,False,558400.0,558400.0,60300.0,0,0
839928,312482,108022.0,Friend,Mobile Money Airtime,543900.0,609800.0,16,15,15.0,1.0,Approved,False,609800.0,609800.0,65900.0,0,0
870995,312482,108022.0,Friend,Mobile Money Airtime,598300.0,670700.0,17,16,16.0,1.0,Approved,False,670700.0,670700.0,72400.0,0,0
899243,312482,108022.0,Friend,Mobile Money Airtime,658100.0,737700.0,18,17,17.0,1.0,Approved,False,737700.0,737700.0,79600.0,0,0
927969,312482,108022.0,Friend,Mobile Money Airtime,723900.0,811300.0,19,18,18.0,1.0,Approved,True,0.0,144000.0,-523900.0,1,1
932196,654630,137987.0,Friend,Hospitality,540000.0,605400.0,1,1,1.0,,Approved,False,605400.0,605400.0,65400.0,32,0
964923,654630,137987.0,Friend,Hospitality,594000.0,665900.0,2,2,2.0,,Approved,False,665900.0,665900.0,71900.0,0,0
950618,665745,279290.0,Friend,School,360000.0,414500.0,1,1,1.0,,Approved,False,414500.0,414500.0,54500.0,33,0
894872,628210,137991.0,Facebook,Food Staple Goods,312000.0,359300.0,1,1,1.0,,Approved,False,359300.0,359300.0,47300.0,24,0
927705,628210,137991.0,Facebook,Food Staple Goods,343000.0,388000.0,2,2,2.0,,Approved,False,388000.0,388000.0,45000.0,26,0
962825,628210,137991.0,Facebook,Food Staple Goods,60000.0,67200.0,3,3,3.0,,Approved,False,67200.0,67200.0,7200.0,0,0
972467,628210,137991.0,Facebook,Food Staple Goods,392000.0,439500.0,4,4,4.0,,Approved,False,439500.0,439500.0,47500.0,20,0
698597,489901,57802.0,Friend,Phones Electronics,260000.0,298900.0,1,1,1.0,2.0,Approved,False,298900.0,298900.0,38900.0,30,0
732359,489901,57802.0,Friend,Phones Electronics,286000.0,320000.0,2,2,2.0,2.0,Approved,False,320000.0,320000.0,34000.0,7,0
763669,489901,57802.0,Friend,Phones Electronics,348800.0,391100.0,3,3,3.0,2.0,Approved,False,391100.0,391100.0,42300.0,12,0
796736,489901,57802.0,Friend,Phones Electronics,536000.0,600900.0,4,4,4.0,2.0,Approved,False,600900.0,600900.0,64900.0,1,0
830422,489901,137987.0,Friend,Phones Electronics,857600.0,961000.0,5,5,5.0,2.0,Approved,False,961000.0,961000.0,103400.0,0,0
863829,489901,137987.0,Friend,Phones Electronics,850000.0,952400.0,6,6,6.0,2.0,Approved,False,952400.0,952400.0,102400.0,0,0
892757,489901,137987.0,Friend,Phones Electronics,1200000.0,1344000.0,7,7,7.0,2.0,Approved,False,1344000.0,1344000.0,144000.0,0,0
920037,489901,137987.0,Friend,Phones Electronics,1530600.0,1713900.0,8,8,8.0,2.0,Approved,False,1713900.0,1713900.0,183300.0,0,0
950509,489901,57802.0,Friend,Phones Electronics,1607100.0,1799400.0,9,9,9.0,2.0,Approved,False,1799400.0,1799400.0,192300.0,0,0
981077,489901,57802.0,Friend,Phones Electronics,1687500.0,1889400.0,10,10,10.0,2.0,Approved,False,1889400.0,1889400.0,201900.0,0,0
764915,286498,279292.0,Friend,Mobile Money Airtime,700000.0,827300.0,1,1,1.0,1.0,Approved,False,827300.0,827300.0,127300.0,30,0
799053,286498,279292.0,Friend,Mobile Money Airtime,714000.0,822000.0,2,2,2.0,1.0,Approved,False,822000.0,822000.0,108000.0,0,0
831310,286498,279292.0,Friend,Mobile Money Airtime,714000.0,822000.0,3,3,3.0,1.0,Approved,False,822000.0,822000.0,108000.0,0,0
865344,286498,279292.0,Friend,Mobile Money Airtime,785400.0,904100.0,4,4,4.0,1.0,Approved,False,904100.0,904100.0,118700.0,0,0
894560,286498,279292.0,Friend,Mobile Money Airtime,863900.0,994300.0,5,5,5.0,1.0,Approved,False,994300.0,994300.0,130400.0,0,0
923985,286498,279292.0,Friend,Mobile Money Airtime,950300.0,1093600.0,6,6,6.0,1.0,Approved,False,1093600.0,1093600.0,143300.0,0,0
953510,286498,279292.0,Friend,Mobile Money Airtime,1045300.0,1202800.0,7,7,7.0,1.0,Approved,False,1202800.0,1202800.0,157500.0,0,0
919198,645363,201649.0,Friend,Mobile Money Airtime,576000.0,645800.0,1,1,1.0,,Approved,False,645800.0,645800.0,69800.0,18,0
