min_prob,max_prob,events,nonevents,total,bucket_event_rate,event_rate,nonevent_rate,cum_eventrate,cum_noneventrate,KS
0.03317982844587563,0.05025616169388869,97,103,200,0.485,62.18%,5.59%,62.18%,5.59%,56.599999999999994
0.02869498253723511,0.03317723890546721,59,140,199,0.2964824120603015,37.82%,7.59%,100.00%,13.18%,86.8
0.028630697470196347,0.02868994769596955,0,182,182,0.0,0.00%,9.87%,100.00%,23.05%,77.0
0.028557529240164862,0.028630683770108276,0,219,219,0.0,0.00%,11.88%,100.00%,34.92%,65.10000000000001
0.02840424822789547,0.02855629882631708,0,200,200,0.0,0.00%,10.85%,100.00%,45.77%,54.2
0.02816863529700422,0.028403953938785278,0,200,200,0.0,0.00%,10.85%,100.00%,56.62%,43.4
0.028021304282425205,0.028168615279999417,0,200,200,0.0,0.00%,10.85%,100.00%,67.46%,32.5
0.027878379639344267,0.02801738840033338,0,199,199,0.0,0.00%,10.79%,100.00%,78.25%,21.7
0.027785811730877782,0.027877618186247663,0,200,200,0.0,0.00%,10.85%,100.00%,89.10%,10.9
0.02736808844314411,0.027785389784729723,0,201,201,0.0,0.00%,10.90%,100.00%,100.00%,0.0
